# SignalAssistant session log
# Started at 2025-12-26 01:53:55
2025-12-26 01:53:55 [session] mode=live session='' path='' duration=0.00 files=0
2025-12-26 01:53:55 [tracker-settings] TrackerConfig onsetThreshold=0.02000 minNoteDurSec=0.045 hopSec=0.010 slideDelta=120.0 bendDelta=35.0
2025-12-26 01:53:55 [tracker-settings] string1 midi=40 lowCut=77.50Hz highCut=135.00Hz baseline=0.001000 gateRatio=0.05500 envFloor=0.001500 sustainScale=0.580 retriggerScale=1.400 pitchTol=0.250 onsetScale=0.360
2025-12-26 01:53:55 [tracker-settings] string2 midi=45 lowCut=102.50Hz highCut=215.00Hz baseline=0.001200 gateRatio=0.10000 envFloor=0.001800 sustainScale=0.700 retriggerScale=1.250 pitchTol=0.400 onsetScale=0.610
2025-12-26 01:53:55 [tracker-settings] string4 midi=55 lowCut=187.50Hz highCut=385.00Hz baseline=0.001600 gateRatio=0.17000 envFloor=0.002400 sustainScale=1.000 retriggerScale=1.000 pitchTol=0.440 onsetScale=1.260
2025-12-26 01:53:55 [tracker-settings] string6 midi=64 lowCut=317.50Hz highCut=650.00Hz baseline=0.002000 gateRatio=0.25000 envFloor=0.003000 sustainScale=1.000 retriggerScale=1.000 pitchTol=0.550 onsetScale=1.620
2025-12-26 01:53:55 [calibration] Loaded avgRms/peakRms from legacy calibration file
2025-12-26 01:53:55 [calibration] Calibration profile derived from tuning state
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=125.16Hz filtered=1 peak=0.00039
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=187.87Hz filtered=1 peak=0.00068
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=376.47Hz filtered=1 peak=0.00032
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=95998.90Hz filtered=1 peak=0.00058
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=8060.94Hz filtered=1 peak=0.00053
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=8063.75Hz filtered=1 peak=0.00063
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=8061.43Hz filtered=1 peak=0.00041
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=166.66Hz filtered=1 peak=0.00072
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=123.07Hz filtered=1 peak=0.00049
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=94.11Hz filtered=1 peak=0.00038
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=123.08Hz filtered=1 peak=0.00055
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=114.29Hz filtered=1 peak=0.00047
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=114.29Hz filtered=1 peak=0.00063
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=114.29Hz filtered=1 peak=0.00058
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=114.29Hz filtered=1 peak=0.00038
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=8060.06Hz filtered=1 peak=0.00040
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=8052.09Hz filtered=1 peak=0.00056
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=103.90Hz filtered=1 peak=0.00047
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=101.26Hz filtered=1 peak=0.00041
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=101.27Hz filtered=1 peak=0.00060
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=266.65Hz filtered=1 peak=0.00051
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=8071.35Hz filtered=1 peak=0.00028
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=8073.29Hz filtered=1 peak=0.00051
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=571.38Hz filtered=1 peak=0.00045
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=98.76Hz filtered=1 peak=0.00047
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=94.11Hz filtered=1 peak=0.00035
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=94.11Hz filtered=1 peak=0.00044
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=100.00Hz filtered=1 peak=0.00040
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=94.11Hz filtered=1 peak=0.00042
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=94.11Hz filtered=1 peak=0.00050
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=235.30Hz filtered=1 peak=0.00047
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=173.90Hz filtered=1 peak=0.00043
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=159.99Hz filtered=1 peak=0.00057
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=307.70Hz filtered=1 peak=0.00029
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=94.11Hz filtered=1 peak=0.00037
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=95.24Hz filtered=1 peak=0.00066
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=8084.11Hz filtered=1 peak=0.00050
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=8072.12Hz filtered=1 peak=0.00074
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=222.22Hz filtered=1 peak=0.00037
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=166.66Hz filtered=1 peak=0.00035
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=160.00Hz filtered=1 peak=0.00059
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=163.25Hz filtered=1 peak=0.00070
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=156.87Hz filtered=1 peak=0.00047
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=121.21Hz filtered=1 peak=0.00053
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=129.03Hz filtered=1 peak=0.00045
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=129.03Hz filtered=1 peak=0.00030
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=126.99Hz filtered=1 peak=0.00027
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=131.15Hz filtered=1 peak=0.00058
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=114.29Hz filtered=1 peak=0.00040
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=112.68Hz filtered=1 peak=0.00076
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=121.20Hz filtered=1 peak=0.00041
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=98.77Hz filtered=1 peak=0.00038
2025-12-26 01:53:55 [detection] LOW E RAW PITCH: detected=100.00Hz filtered=1 peak=0.00050
