# SignalAssistant session log
# Started at 2025-12-26 02:06:46
2025-12-26 02:06:46 [session] mode=live session='' path='' duration=0.00 files=0
2025-12-26 02:06:46 [tracker-settings] TrackerConfig onsetThreshold=0.02000 minNoteDurSec=0.045 hopSec=0.010 slideDelta=120.0 bendDelta=35.0
2025-12-26 02:06:46 [tracker-settings] string1 midi=40 lowCut=77.50Hz highCut=135.00Hz baseline=0.001000 gateRatio=0.05500 envFloor=0.001500 sustainScale=0.580 retriggerScale=1.400 pitchTol=0.250 onsetScale=0.360
2025-12-26 02:06:46 [tracker-settings] string2 midi=45 lowCut=102.50Hz highCut=215.00Hz baseline=0.001200 gateRatio=0.10000 envFloor=0.001800 sustainScale=0.700 retriggerScale=1.250 pitchTol=0.400 onsetScale=0.610
2025-12-26 02:06:46 [tracker-settings] string3 midi=50 lowCut=137.50Hz highCut=290.00Hz baseline=0.001400 gateRatio=0.13000 envFloor=0.002100 sustainScale=0.820 retriggerScale=1.100 pitchTol=0.450 onsetScale=0.930
2025-12-26 02:06:46 [tracker-settings] string4 midi=55 lowCut=187.50Hz highCut=385.00Hz baseline=0.001600 gateRatio=0.17000 envFloor=0.002400 sustainScale=1.000 retriggerScale=1.000 pitchTol=0.440 onsetScale=1.260
2025-12-26 02:06:46 [tracker-settings] string5 midi=59 lowCut=237.50Hz highCut=485.00Hz baseline=0.001800 gateRatio=0.21000 envFloor=0.002700 sustainScale=1.000 retriggerScale=1.000 pitchTol=0.500 onsetScale=1.440
2025-12-26 02:06:46 [tracker-settings] string6 midi=64 lowCut=317.50Hz highCut=650.00Hz baseline=0.002000 gateRatio=0.25000 envFloor=0.003000 sustainScale=1.000 retriggerScale=1.000 pitchTol=0.550 onsetScale=1.620
2025-12-26 02:06:46 [calibration] Loaded avgRms/peakRms from legacy calibration file
2025-12-26 02:06:46 [calibration] Calibration profile derived from tuning state
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=125.16Hz filtered=1 peak=0.00145
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=187.87Hz filtered=1 peak=0.00179
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=376.47Hz filtered=1 peak=0.00252
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00178
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=94.61Hz filtered=1 peak=0.00216
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00230
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00195
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00238
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00265
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00188
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00218
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00238
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00195
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00186
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00227
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=95999.98Hz filtered=1 peak=0.00208
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00157
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00216
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00208
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00121
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00247
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00247
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00171
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=95999.98Hz filtered=1 peak=0.00244
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00232
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00118
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00243
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=95999.98Hz filtered=1 peak=0.00247
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00119
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00218
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00214
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00168
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00240
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00272
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=95999.98Hz filtered=1 peak=0.00193
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00197
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00249
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=95999.98Hz filtered=1 peak=0.00235
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00202
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00240
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00214
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00190
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=95999.98Hz filtered=1 peak=0.00242
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00230
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00157
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=95999.98Hz filtered=1 peak=0.00244
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00240
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00100
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=95999.98Hz filtered=1 peak=0.00269
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00269
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00107
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00229
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00242
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00133
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=95999.98Hz filtered=1 peak=0.00224
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00240
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00181
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00225
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00232
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=95999.98Hz filtered=1 peak=0.00193
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00207
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00242
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00217
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00214
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00240
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00198
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=95999.98Hz filtered=1 peak=0.00155
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00241
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=95999.98Hz filtered=1 peak=0.00218
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00160
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00237
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00237
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00153
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00235
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00237
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00124
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=95999.98Hz filtered=1 peak=0.00260
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00265
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00155
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00241
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00254
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00154
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00231
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00248
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00172
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=95999.98Hz filtered=1 peak=0.00201
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00242
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00201
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=95999.98Hz filtered=1 peak=0.00188
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00216
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00200
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00182
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=95999.98Hz filtered=1 peak=0.00199
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00199
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=95999.98Hz filtered=1 peak=0.00150
2025-12-26 02:06:47 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00230
