# SignalAssistant session log
# Started at 2025-12-26 02:10:50
2025-12-26 02:10:50 [session] mode=recorded session='20251226-020805 S1F0' path='/home/general/SignalAssistant/sessions/live/20251226-020805 S1F0' duration=9.18 files=6
2025-12-26 02:10:50 [tracker-settings] TrackerConfig onsetThreshold=0.02000 minNoteDurSec=0.045 hopSec=0.010 slideDelta=120.0 bendDelta=35.0
2025-12-26 02:10:50 [tracker-settings] string1 midi=40 lowCut=77.50Hz highCut=135.00Hz baseline=0.001000 gateRatio=0.05500 envFloor=0.001500 sustainScale=0.580 retriggerScale=1.400 pitchTol=0.250 onsetScale=0.360
2025-12-26 02:10:50 [tracker-settings] string2 midi=45 lowCut=102.50Hz highCut=215.00Hz baseline=0.001200 gateRatio=0.10000 envFloor=0.001800 sustainScale=0.700 retriggerScale=1.250 pitchTol=0.400 onsetScale=0.610
2025-12-26 02:10:50 [tracker-settings] string3 midi=50 lowCut=137.50Hz highCut=290.00Hz baseline=0.001400 gateRatio=0.13000 envFloor=0.002100 sustainScale=0.820 retriggerScale=1.100 pitchTol=0.450 onsetScale=0.930
2025-12-26 02:10:50 [tracker-settings] string4 midi=55 lowCut=187.50Hz highCut=385.00Hz baseline=0.001600 gateRatio=0.17000 envFloor=0.002400 sustainScale=1.000 retriggerScale=1.000 pitchTol=0.440 onsetScale=1.260
2025-12-26 02:10:50 [tracker-settings] string6 midi=64 lowCut=317.50Hz highCut=650.00Hz baseline=0.002000 gateRatio=0.25000 envFloor=0.003000 sustainScale=1.000 retriggerScale=1.000 pitchTol=0.550 onsetScale=1.620
2025-12-26 02:10:50 [calibration] Loaded avgRms/peakRms from legacy calibration file
2025-12-26 02:10:50 [calibration] Calibration profile derived from tuning state
2025-12-26 02:10:53 [test-mode] play session='20251226-020805 S1F0' position=0.00 duration=9.18
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=125.16Hz filtered=1 peak=0.00046
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=187.87Hz filtered=1 peak=0.00013
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=376.47Hz filtered=1 peak=0.00051
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00046
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=95.67Hz filtered=1 peak=0.00068
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=94.35Hz filtered=1 peak=0.00037
2025-12-26 02:10:53 [detection] LOW E RAW PITCH: detected=97.78Hz filtered=1 peak=0.00029
