# SignalAssistant session log
# Started at 2025-12-26 02:15:01
2025-12-26 02:15:01 [session] mode=recorded session='20251226-013301 012' path='/home/general/SignalAssistant/sessions/live/20251226-013301 012' duration=8.39 files=6
2025-12-26 02:15:01 [tracker-settings] TrackerConfig onsetThreshold=0.02000 minNoteDurSec=0.045 hopSec=0.010 slideDelta=120.0 bendDelta=35.0
2025-12-26 02:15:01 [tracker-settings] string1 midi=40 lowCut=77.50Hz highCut=135.00Hz baseline=0.001000 gateRatio=0.05500 envFloor=0.001500 sustainScale=0.580 retriggerScale=1.400 pitchTol=0.250 onsetScale=0.360
2025-12-26 02:15:01 [tracker-settings] string2 midi=45 lowCut=102.50Hz highCut=215.00Hz baseline=0.001200 gateRatio=0.10000 envFloor=0.001800 sustainScale=0.700 retriggerScale=1.250 pitchTol=0.400 onsetScale=0.610
2025-12-26 02:15:01 [tracker-settings] string4 midi=55 lowCut=187.50Hz highCut=385.00Hz baseline=0.001600 gateRatio=0.17000 envFloor=0.002400 sustainScale=1.000 retriggerScale=1.000 pitchTol=0.440 onsetScale=1.260
2025-12-26 02:15:01 [tracker-settings] string5 midi=59 lowCut=237.50Hz highCut=485.00Hz baseline=0.001800 gateRatio=0.21000 envFloor=0.002700 sustainScale=1.000 retriggerScale=1.000 pitchTol=0.500 onsetScale=1.440
2025-12-26 02:15:01 [tracker-settings] string6 midi=64 lowCut=317.50Hz highCut=650.00Hz baseline=0.002000 gateRatio=0.25000 envFloor=0.003000 sustainScale=1.000 retriggerScale=1.000 pitchTol=0.550 onsetScale=1.620
2025-12-26 02:15:01 [calibration] Loaded avgRms/peakRms from legacy calibration file
2025-12-26 02:15:01 [calibration] Calibration profile derived from tuning state
2025-12-26 02:15:08 [test-mode] play session='20251226-013301 012' position=0.00 duration=8.39
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=125.16Hz filtered=1 peak=0.00011
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=187.87Hz filtered=1 peak=0.00013
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=376.47Hz filtered=1 peak=0.00020
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00026
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00036
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00016
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=145.69Hz filtered=1 peak=0.00022
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=117.86Hz filtered=1 peak=0.00014
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=105.28Hz filtered=1 peak=0.00017
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=106.74Hz filtered=1 peak=0.00019
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=103.66Hz filtered=1 peak=0.00016
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=100.46Hz filtered=1 peak=0.00028
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=98.05Hz filtered=1 peak=0.00042
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=108.23Hz filtered=1 peak=0.00036
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=106.97Hz filtered=1 peak=0.00021
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=104.05Hz filtered=1 peak=0.00020
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=107.97Hz filtered=1 peak=0.00016
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=114.99Hz filtered=1 peak=0.00015
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=123.16Hz filtered=1 peak=0.00031
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=224.97Hz filtered=1 peak=0.00010
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=296.36Hz filtered=1 peak=0.00026
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=145.77Hz filtered=1 peak=0.00027
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=102.55Hz filtered=1 peak=0.00015
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=106.88Hz filtered=1 peak=0.00015
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00024
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=98.80Hz filtered=1 peak=0.00017
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96.94Hz filtered=1 peak=0.00009
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=95.60Hz filtered=1 peak=0.00023
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=153.90Hz filtered=1 peak=0.00023
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=186.11Hz filtered=1 peak=0.00023
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=273.75Hz filtered=1 peak=0.00033
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=196.13Hz filtered=1 peak=0.00036
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=212.47Hz filtered=1 peak=0.00020
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=95999.98Hz filtered=1 peak=0.00027
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00017
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00017
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00019
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00016
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00016
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96.53Hz filtered=1 peak=0.00022
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96.22Hz filtered=1 peak=0.00022
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=141.91Hz filtered=1 peak=0.00028
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=280.47Hz filtered=1 peak=0.00032
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=274.62Hz filtered=1 peak=0.00030
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=282.71Hz filtered=1 peak=0.00019
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00019
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00063
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00062
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00016
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=95999.98Hz filtered=1 peak=0.00035
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=95999.98Hz filtered=1 peak=0.00040
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00019
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00020
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00035
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=94.67Hz filtered=1 peak=0.00011
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00044
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00022
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00021
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=95999.98Hz filtered=1 peak=0.00039
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00040
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00025
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00032
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00028
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00039
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00044
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00032
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00021
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00030
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00052
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00044
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00033
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00062
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00053
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00036
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00033
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00021
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00023
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00020
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00017
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=105.89Hz filtered=1 peak=0.00026
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00014
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00018
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00024
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=141.97Hz filtered=1 peak=0.00046
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=141.46Hz filtered=1 peak=0.00049
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00023
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=136.60Hz filtered=1 peak=0.00033
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=139.86Hz filtered=1 peak=0.00042
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00019
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00017
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=95999.98Hz filtered=1 peak=0.00024
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00010
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00014
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=192.10Hz filtered=1 peak=0.00043
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=201.84Hz filtered=1 peak=0.00040
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00040
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00040
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00019
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00030
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=93.93Hz filtered=1 peak=0.00027
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00031
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00030
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00067
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00021
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00028
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00041
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00040
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00023
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00032
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00021
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00025
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00044
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00041
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00027
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00012
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=96000.00Hz filtered=1 peak=0.00021
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=121.08Hz filtered=1 peak=0.00020
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=136.99Hz filtered=1 peak=0.00035
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=153.85Hz filtered=1 peak=0.00041
2025-12-26 02:15:08 [detection] LOW E RAW PITCH: detected=224.45Hz filtered=1 peak=0.00030
